Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Amount,Open,High,Low,Gross Margin,SG&A to Sales,Operating Margin,Pretax Margin,Net Margin,Free Cash Flow Margin,Capex To Sales,Return on Assets,Return on Equity ,Return on Common Equity,Return on Total Capital,Return on Invested Capital,Cash Flow Return on Invested Capital,Price/Sales,Price/Earnings,Price/Book Value,Price/Tangible Book Value,Price/Cash Flow,Price/Free Cash Flow,Dividend Yield (%),Enterprise Value/EBIT,Enterprise Value/EBITDA,Enterprise Value/Sales,Total Debt/Enterprise Value,Sales per Share,EBIT (Operating Income) per Share,EPS (recurring),EPS (basic),EPS (diluted),Dividends per Share,Dividend Payout Ratio (%),Book Value per Share_x,Tangible Book Value per Share_x,Cash Flow per Share,Free Cash Flow per Share,Diluted Shares Outstanding  (M),Basic Shares Outstanding  (M),Total Shares Outstanding  (M),Cash & ST Investments,Receivables,Inventories_x,Current Assets,Fixed Assets,Total Assets_x,Accrued Payroll,Accumulated Depreciation,Additional Paid-In Capital/Capital Surplus,Book Value per Share_y,Capital and Operating Lease Obligations,Cash & Short-Term Investments,Cash Only,Common Equity,Common Stock Par/Carry Value,Deferred Income,Deferred Tax Liabilities,Intangible Assets,Inventories_y,Long-Term Debt,Long-Term Debt excl Lease Obligations,Miscellaneous Current Assets,Miscellaneous Current Liabilities,"Net Property, Plant & Equipment",Other Appropriated Reserves,Other Assets,Other Current Assets,Other Current Liabilities,Other Liabilities,Other Liabilities (excl. Deferred Income),Other Long-Term Investments,"Property, Plant & Equipment - Gross",Provision for Risks & Charges,Retained Earnings,Short-Term Receivables,Tangible Book Value per Share_y,Total Assets_y,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Shareholders' Equity,Total Long-Term Investments ,Total Shareholders' Equity,Total Short Term Investments,Treasury Stock,Unrealized Gain/Loss Marketable Securities
08/14/2024,118.08,339246400,1.94,1.670397796,1.67040168,124.01,40058214912,118.53,118.6,114.07,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
08/13/2024,116.14,312646700,7.12,6.530911759,6.530916521,121.98,36310787738,112.44,116.23,111.58,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/12/2024,109.02,325559900,4.27,4.076372315,4.076365058,114.5,35492540298,106.32,111.07,106.26,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/09/2024,104.75,290844200,-0.22,-0.209583691,-0.209580547,110.01,30465929950,105.64,106.6,103.43,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/08/2024,104.97,391910030,6.06,6.126781923,6.126776718,110.24,41138795849,102,105.5,97.52,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/07/2024,98.91,411440380,-5.34,-5.122302158,-5.122300753,103.88,40695567986,107.81,108.8,98.69,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/06/2024,104.25,409012100,3.8,3.782976605,3.782986686,109.49,42639511425,103.84,107.71,100.55,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/05/2024,100.45,552842400,-6.82,-6.357788757,-6.357791831,105.5,55533019080,92.06,103.41,90.69,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/02/2024,107.27,482027500,-1.94,-1.776394103,-1.776398225,112.66,51707089925,103.76,108.72,101.37,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
8/01/2024,109.21,523462300,-7.81,-6.674072808,-6.674072872,114.7,57167317783,117.53,120.16,106.8104,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/31/2024,117.02,473174220,13.29,12.81210836,12.81210537,122.9,55370847224,112.9,118.34,110.88,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/30/2024,103.73,486833300,-7.86,-7.043641903,-7.043639285,108.94,50499218209,111.52,111.99,102.54,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
